Ma ck,gia,eps,pe,gt so sach,klgd10,kl niem yet,kl luu hanh,von hoa
DND,25.3,1.43,18.13,14.15,110.0,8834000.0,8834000.0,229.68
DNE,9.7,2.2,4.4,12.66,290.0,5773600.0,5773600.0,56.0
DNF,2.2,0.42,5.22,6.31,,5000000.0,5000000.0,11.0
DNH,28.0,1.61,20.0,13.27,390.0,422400000.0,422400000.0,13601.28
DNL,17.5,2.36,7.42,12.98,500.0,4310000.0,4310000.0,75.43
DNM,41.8,8.38,4.89,26.48,40148.0,4377605.0,4377605.0,179.48
DNN,0.2,2.42,0.08,12.05,,57964061.0,57964061.0,11.59
DNP,17.8,0.19,92.73,12.43,3559.0,100008535.0,109145683.0,1942.79
DNR,10.5,2.15,4.89,12.63,,1577500.0,1577500.0,16.56
DNT,25.5,1.7,15.02,10.8,11.0,7459675.0,7459675.0,190.22
DNW,21.5,2.27,9.36,14.17,5692.0,100000000.0,100000000.0,2120.0
DOC,8.5,0.13,65.99,10.19,,10000000.0,10000000.0,85.0
DOP,9.6,1.72,5.57,15.43,180.0,4719950.0,4719950.0,45.31
DP1,15.5,1.87,8.28,11.78,30.0,20979000.0,20979000.0,325.17
DP3,86.0,9.35,9.09,35.84,2182.0,8600000.0,8600000.0,731.0
DPC,12.7,2.07,6.15,20.2,53.0,2237280.0,2237280.0,28.41
DPG,29.3,5.67,5.17,20.35,653553.0,44999810.0,43499810.0,1274.54
DPH,24.5,5.39,4.73,48.13,920.0,3000000.0,3000000.0,76.5
DPM,18.0,2.1,8.55,20.52,3815936.0,391400000.0,391334260.0,7044.02
DPP,15.3,1.93,7.92,14.64,50.0,3000010.0,3000010.0,45.9
DPR,45.5,4.79,9.51,45.59,103554.0,43000000.0,40124790.0,1825.68
DQC,15.7,0.36,44.46,32.87,78268.0,34359416.0,27558066.0,438.17
DRC,22.2,1.92,11.53,13.78,1656167.0,118792605.0,118792605.0,2625.32
DRG,12.3,0.08,146.21,10.21,,155800000.0,155800000.0,1916.34
DRH,7.9,1.02,7.81,13.77,2048017.0,60999933.0,60342933.0,482.14
DRI,7.5,0.19,39.85,10.23,766310.0,73200000.0,73200000.0,549.0
DRL,54.5,5.55,10.01,13.7,4284.0,9500000.0,9500000.0,527.25
DS3,3.9,0.65,6.14,10.68,35203.0,10669730.0,10669730.0,42.68
DSN,46.9,2.38,19.8,15.63,11361.0,12083009.0,12083009.0,570.32
DSS,7.5,1.41,5.33,11.82,,2045000.0,2045000.0,15.34
DST,2.6,0.24,10.62,9.84,521914.0,32300000.0,32219000.0,83.77
DSV,10.0,1.77,5.64,11.99,,1229579.0,1229579.0,12.3
DT4,8.0,1.34,5.99,11.38,50.0,1160000.0,1160000.0,9.28
DTB,9.3,1.03,8.24,11.59,172.0,1558248.0,1558248.0,13.25
DTC,12.3,1.72,7.15,10.2,2335.0,10000000.0,10000000.0,123.0
DTD,28.5,4.14,6.81,16.93,161159.0,27039053.0,27495553.0,775.37
DTG,8.9,1.03,8.63,19.42,2.0,6315928.0,6315928.0,56.21
DTI,9.8,0.1,102.92,10.1,1.0,11521754.0,11521754.0,112.91
DTK,12.2,0.75,18.77,10.65,2230.0,680000000.0,680000000.0,9520.0
DTN,62.9,0.41,154.38,12.46,10.0,2200000.0,2200000.0,138.38
DTP,45.0,7.7,5.46,27.42,2530.0,12171782.0,12171782.0,511.21
DTT,13.3,1.06,11.67,15.08,7.0,8151820.0,8151820.0,101.08
DTV,40.0,3.88,9.24,18.65,400.0,5280000.0,5264000.0,188.98
DUS,10.0,2.77,3.61,14.17,400.0,5614300.0,5614300.0,56.14
DVC,8.5,0.9,10.15,12.42,55600.0,10793670.0,10793670.0,98.22
DVD,3.6,inf,,25.55,33108.0,11910000.0,18460500.0,64.61
DVH,11.0,2.99,3.67,9.31,10.0,11000000.0,11000000.0,121.0
DVN,17.3,0.72,24.66,11.35,1072696.0,237000000.0,237000000.0,4218.6
DVP,45.4,6.05,7.6,30.92,94160.0,40000000.0,40000000.0,1840.0
DVW,19.6,2.87,6.83,17.89,,2345000.0,2345000.0,45.96
DWS,10.3,1.04,9.89,11.51,10.0,25918130.0,25918130.0,266.96
DX2,10.2,0.52,19.48,10.52,,4950000.0,4950000.0,50.49
DXD,14.1,0.0,2825.46,10.45,,1019700.0,1019700.0,14.38
DXL,3.5,0.12,28.71,10.57,,3957900.0,3957900.0,13.85
DXP,16.4,2.02,8.26,17.09,417670.0,25987027.0,25987287.0,433.99
DXV,3.46,0.32,10.83,11.2,2729.0,9900000.0,9900000.0,34.35
DZM,3.3,0.03,102.25,9.07,25882.0,5395985.0,5395985.0,17.27
E12,10.0,0.44,22.97,12.4,,1200000.0,1200000.0,12.0
E29,6.0,0.85,7.08,10.05,40.0,5000000.0,5000000.0,30.0
EAD,21.4,2.21,9.7,12.47,,2877800.0,2877800.0,61.58
EBA,9.1,0.83,11.02,11.69,,15500000.0,15500000.0,141.05
EBS,8.2,0.55,15.0,12.34,1512.0,10219484.0,9965584.0,81.72
ECI,14.0,2.38,5.89,18.58,,1860000.0,1760000.0,24.64
EFI,2.0,0.02,90.9,8.24,50.0,13425700.0,10880000.0,21.76
EIC,7.3,0.81,10.08,10.83,450.0,36677145.0,36677145.0,300.75
EID,14.0,3.0,4.94,20.26,19386.0,15000000.0,15000000.0,222.0
EIN,5.0,0.28,16.92,10.34,5346.0,45407161.0,45407161.0,213.41
ELC,7.4,0.87,8.88,16.4,435183.0,51528243.0,50618648.0,389.76
EMC,20.0,0.13,149.58,10.49,1.0,15297333.0,15297333.0,305.95
EME,45.0,0.01,4700.62,17.46,,3780298.0,3780298.0,170.11
EMG,18.5,3.17,5.84,24.88,,3000000.0,3000000.0,55.5
EMS,30.3,5.81,5.18,14.98,613.0,9159125.0,15000815.0,451.52
EPH,7.5,1.66,4.52,13.01,1500.0,2500000.0,2500000.0,18.75
EVE,13.4,1.23,10.89,23.98,82224.0,41979773.0,38047973.0,509.84
EVG,5.86,0.35,17.02,11.5,891586.0,60000000.0,60000000.0,354.0
EVS,6.2,0.04,150.3,12.2,2820.0,60000400.0,60000400.0,402.0
FBA,0.9,0.56,1.62,10.8,,3414900.0,3414900.0,3.07
FBC,4.6,8.44,0.55,23.16,,3700000.0,3700000.0,17.02
FCM,5.97,0.77,7.8,12.54,12871.0,41000000.0,41000000.0,246.0
FCN,11.95,1.2,10.46,18.77,1363011.0,119538893.0,123930789.0,1549.13
FDT,38.8,2.34,16.57,13.14,1.0,3054500.0,3054500.0,118.51
FHN,14.0,0.58,24.2,16.2,340.0,3000000.0,3000000.0,42.0
FHS,27.0,2.74,9.86,17.32,20.0,9108277.0,9108277.0,245.92
FIC,12.8,0.04,299.18,11.39,,127000000.0,127000000.0,1625.6
FIR,25.3,1.78,14.31,17.07,78762.0,27039864.0,27039864.0,689.52
FIT,11.2,0.36,31.85,11.92,2555657.0,254730247.0,254730247.0,2929.4
FMC,36.55,4.56,8.01,20.75,535892.0,49044000.0,49044000.0,1792.56
FOC,105.1,11.5,9.21,41.27,891.0,18471275.0,18465025.0,1955.45
FOX,58.3,4.05,14.48,19.17,18804.0,273646461.0,273616446.0,16061.29
FPC,1.5,inf,,-8.68,1892.0,13106292.0,32999991.0,52.8
FPT,56.7,4.22,13.52,19.22,1973196.0,783987486.0,783905110.0,44760.98
FRC,16.5,5.34,3.09,24.79,,3000000.0,3000000.0,49.5
FRM,17.0,0.42,40.13,11.76,0.0,11700000.0,11700000.0,198.9
FSC,11.2,0.48,23.3,35.58,,30000000.0,30000000.0,336.0
FT1,29.7,6.46,4.59,19.09,190.0,7079853.0,7079853.0,210.27
FTI,3.5,0.79,4.44,7.07,,3943710.0,3943710.0,13.8
FTS,13.85,0.44,31.95,15.89,741108.0,132267349.0,132266953.0,1838.51
G36,11.1,0.89,12.74,14.17,2079019.0,93600000.0,96563749.0,1062.2
GAB,193.2,0.41,471.45,11.7,3243.0,13800000.0,13800000.0,2668.92
GAS,85.4,4.77,17.97,24.42,1087730.0,1895000000.0,1913950000.0,164216.91
GCB,9.5,1.03,9.24,15.97,20.0,4039147.0,4039147.0,38.37
GDT,38.4,4.35,9.1,16.42,17628.0,17136968.0,16877158.0,668.34
GDW,20.2,0.9,22.55,15.92,20.0,9500000.0,9500000.0,191.9
GEG,17.55,0.9,19.45,11.6,1030970.0,271175188.0,271175188.0,4772.68
GER,5.0,0.45,11.08,11.49,,2200000.0,2200000.0,11.0
GEX,20.9,1.39,15.22,13.71,7371038.0,488244000.0,469969050.0,9963.34
GGS,3.1,0.38,8.17,12.28,,10200000.0,10200000.0,31.62
GHA,6.2,inf,,20.33,5010.0,2616960.0,2578960.0,16.76
GHC,32.9,4.49,8.01,20.64,11756.0,20500000.0,31775000.0,1042.22
GIC,18.7,3.52,5.4,18.14,13760.0,12120000.0,12120000.0,230.28
GIL,46.2,7.23,6.43,31.73,385211.0,36000000.0,35983800.0,1671.45
GKM,16.4,0.38,43.96,11.75,173031.0,14883709.0,14883709.0,247.07
GLT,19.9,2.03,9.59,10.47,19037.0,9236446.0,8131296.0,158.56
GLW,4.1,0.46,8.97,10.57,,18000000.0,18000000.0,73.8
GMA,36.3,0.68,58.24,12.03,2230.0,6000000.0,6000000.0,237.0
GMC,18.1,1.64,11.13,23.72,37670.0,30005280.0,29956020.0,548.2
GMD,33.2,1.27,25.85,19.59,6456920.0,296924957.0,296924957.0,9783.68
GMX,25.1,5.09,4.93,18.04,50.0,5320694.0,5314448.0,133.39
GND,26.0,4.89,5.32,32.85,1710.0,9000000.0,8263200.0,214.84
GSM,8.5,0.54,15.74,12.45,960.0,28562000.0,28562000.0,242.78
GSP,11.15,1.63,6.61,12.33,13941.0,36000000.0,36000000.0,387.0
GTA,12.4,1.69,7.17,16.58,2942.0,10400000.0,9830000.0,118.94
GTC,2.1,9.93,0.21,-69.71,,1032243.0,1032243.0,2.17
GTH,5.3,0.32,16.57,12.18,,2735500.0,2735500.0,14.5
GTN,28.0,0.02,1775.48,10.3,3072296.0,250000000.0,249000000.0,6959.55
GTS,9.8,1.63,6.01,11.16,0.0,28499764.0,28499764.0,279.3
GVR,23.25,0.77,30.32,11.24,4424762.0,4000000000.0,4000000000.0,93200.0
GVT,51.7,9.8,5.28,22.64,1429.0,11605100.0,11605100.0,599.98
H11,9.9,0.12,80.34,11.85,,1060000.0,1060000.0,10.49
HAB,27.8,0.35,80.18,10.81,,2000000.0,2000000.0,55.6
HAC,5.2,0.48,10.79,10.53,8289.0,29181096.0,29176390.0,151.72
HAD,17.6,3.29,5.41,20.05,10324.0,4000000.0,4000000.0,71.2
HAF,14.9,0.18,83.23,8.65,700.0,14500000.0,14500000.0,216.05
HAH,17.1,2.5,7.3,21.5,1273167.0,48782751.0,47392798.0,864.92
HAM,21.1,2.83,7.45,18.12,,6225399.0,6847899.0,144.49
HAN,14.6,0.25,58.49,11.25,75502.0,141048000.0,141048000.0,2059.3
HAP,5.82,0.24,24.42,12.23,493080.0,55626621.0,55471151.0,325.62
HAR,4.65,0.08,55.06,10.95,1237917.0,101350100.0,95684090.0,443.02
HAS,8.55,0.49,17.3,17.9,975.0,8000000.0,7800000.0,66.3
HAT,24.4,4.78,5.06,25.03,5764.0,3123000.0,3123000.0,75.58
HAX,18.1,1.91,9.5,12.81,455059.0,36744399.0,36610129.0,664.47
HBC,14.25,1.18,12.12,15.49,9720932.0,205875398.0,230875398.0,3313.06
HBD,14.3,1.9,7.63,15.99,90.0,2011100.0,1904400.0,27.61
HBE,8.0,0.5,16.12,11.82,250.0,2231058.0,2231058.0,17.85
HBH,5.1,0.76,6.72,8.44,310.0,16000000.0,16000000.0,81.6
HBI,26.0,0.2,131.67,10.22,,51000000.0,51000000.0,1326.0
HBS,3.4,0.1,37.45,11.69,125066.0,32999980.0,32999980.0,122.1
HBW,7.1,0.47,15.15,10.93,,6679289.0,6679289.0,47.42
HC1,23.8,1.51,15.8,24.55,,8000000.0,8000000.0,190.4
HC3,26.1,4.65,5.62,32.8,8600.0,18805267.0,18805267.0,490.82
HCB,14.7,5.23,2.81,26.98,110.0,5199274.0,5199274.0,76.43
HCC,10.2,1.95,5.22,12.87,31294.0,6518586.0,6518547.0,66.49
HCM,28.55,2.1,13.38,14.61,5944558.0,305882263.0,305041862.0,8586.93
HCS,12.7,2.85,4.46,14.0,,2250000.0,2250000.0,28.58
HCT,10.5,0.78,14.81,20.57,2045.0,2016385.0,2016385.0,23.19
HD2,5.9,0.51,11.35,13.71,83777.0,8962353.0,8962353.0,51.98
HD3,10.0,0.0,4015.06,10.0,,2000000.0,2000000.0,20.0
HD8,7.0,1.48,4.72,13.37,110.0,10000000.0,10000000.0,70.0
HDA,8.4,0.61,13.73,15.38,55183.0,11500000.0,11500000.0,96.6
HDC,31.8,2.87,11.43,15.2,857849.0,66515837.0,65875008.0,2160.7
HDG,34.45,6.22,5.53,19.29,2012735.0,154275018.0,154286919.0,5307.47
HDM,14.0,1.82,7.74,20.21,1610.0,10000000.0,10000000.0,141.0
HDP,9.5,1.13,9.08,12.86,5047.0,9011418.0,9011418.0,83.81
HDW,11.6,1.55,7.47,12.83,,31882470.0,31882470.0,369.84
HEC,52.5,11.32,5.04,33.18,440.0,4200000.0,4200000.0,239.4
HEJ,22.9,1.7,13.43,16.31,710.0,4400000.0,4400000.0,100.76
HEM,12.9,0.78,16.2,16.2,1014.0,38704650.0,38549019.0,489.57
HEP,9.1,1.19,7.67,101.51,50.0,6000000.0,6000000.0,54.6
HES,10.6,0.78,13.63,12.42,,9297450.0,9297450.0,98.55
HEV,13.8,1.8,7.66,16.15,291.0,1000000.0,1000000.0,13.8
HFB,7.0,1.17,5.97,11.0,,9100000.0,9100000.0,63.7
HFC,6.7,0.83,6.89,10.41,20.0,6455335.0,6455335.0,36.8
HFS,23.3,0.01,1818.05,11.71,,10000000.0,10000000.0,233.0
HGM,38.0,0.24,155.44,12.08,,12600000.0,11920720.0,452.99
HGW,9.6,0.69,13.96,21.57,10.0,24878291.0,17478835.0,167.8
HHA,71.1,5.93,11.99,26.27,20.0,5896100.0,5896100.0,419.21
HHC,94.4,2.5,35.08,26.55,520.0,16425000.0,16425000.0,1442.12
HHN,6.6,0.05,144.36,13.17,,1440000.0,1440000.0,9.5
HHP,12.6,1.05,12.08,11.07,284124.0,18000000.0,18000000.0,228.6
HHR,1.6,2.39,0.67,10.91,,1380000.0,1380000.0,2.21
HHS,4.9,1.29,3.82,13.19,3343139.0,274744063.0,274744063.0,1359.98
HHV,16.1,0.05,346.23,22.99,30.0,267384090.0,267384090.0,4545.53
HID,2.57,0.15,17.75,10.33,140606.0,58765032.0,58759391.0,157.48
HIG,10.4,1.57,6.67,18.02,21568.0,22559030.0,20418998.0,214.4
HII,15.0,1.4,12.47,16.65,239988.0,32027500.0,32027500.0,486.82
HIZ,28.0,3.02,9.27,23.47,90.0,7500000.0,7500000.0,210.0
HJC,5.5,0.83,6.63,11.06,,12853052.0,12853052.0,70.69
HJS,34.5,2.49,13.88,14.06,100580.0,20999900.0,20999900.0,724.5
HKC,36.0,1.29,27.88,15.56,80.0,2400000.0,2400000.0,86.4
HKP,4.3,0.23,19.08,11.93,1640.0,4000000.0,4000000.0,17.2
HKT,7.0,0.39,19.65,11.41,10.0,6135029.0,6135029.0,46.63
HLB,109.8,19.71,4.74,46.56,1120.0,3000000.0,3000000.0,280.5
HLC,7.3,1.89,3.7,11.66,1140.0,25415199.0,25415199.0,177.91
HLD,28.7,2.48,11.57,24.39,201371.0,20000000.0,20000000.0,574.0
